# Recommended confusable mapping for IDN
24A9,0028 006E 0029 
1F11D,0028 004E 0029 
24AA,0028 006F 0029 
1F11E,0028 004F 0029 
24AB,0028 0070 0029 
1F11F,0028 0050 0029 
24AC,0028 0071 0029 
1F120,0028 0051 0029 
24AD,0028 0072 0029 
1F121,0028 0052 0029 
24A8,0028 0072 006E 0029 
24AE,0028 0073 0029 
1F122,0028 0053 0029 
1F12A,0028 0053 0029 
24AF,0028 0074 0029 
1F123,0028 0054 0029 
24B0,0028 0075 0029 
1F124,0028 0055 0029 
24B1,0028 0076 0029 
1F125,0028 0056 0029 
24B2,0028 0076 0076 0029 
1F126,0028 0057 0029 
24B3,0028 0078 0029 
1F127,0028 0058 0029 
24B4,0028 0079 0029 
1F128,0028 0059 0029 
24B5,0028 007A 0029 
1F129,0028 005A 0029 
3200,0028 1100 0029 
320E,0028 AC00 0029 
3201,0028 1102 0029 
320F,0028 B098 0029 
3202,0028 1103 0029 
3210,0028 B2E4 0029 
3203,0028 1105 0029 
3211,0028 B77C 0029 
3204,0028 1106 0029 
3212,0028 B9C8 0029 
3205,0028 1107 0029 
3213,0028 BC14 0029 
3206,0028 1109 0029 
3214,0028 C0AC 0029 
3207,0028 110B 0029 
3215,0028 C544 0029 
321D,0028 C624 C804 0029 
321E,0028 C624 D6C4 0029 
3208,0028 110C 0029 
3216,0028 C790 0029 
321C,0028 C8FC 0029 
3209,0028 110E 0029 
3217,0028 CC28 0029 
320A,0028 110F 0029 
3218,0028 CE74 0029 
320B,0028 1110 0029 
3219,0028 D0C0 0029 
320C,0028 1111 0029 
321A,0028 D30C 0029 
320D,0028 1112 0029 
321B,0028 D558 0029 
3226,0028 4E03 0029 
3222,0028 4E09 0029 
1F241,0028 4E09 0029 
3228,0028 4E5D 0029 
3221,0028 4E8C 0029 
1F242,0028 4E8C 0029 
3224,0028 4E94 0029 
3239,0028 4EE3 0029 
323D,0028 4F01 0029 
3241,0028 4F11 0029 
3227,0028 516B 0029 
3225,0028 516D 0029 
3238,0028 52B4 0029 
1F247,0028 52DD 0029 
3229,0028 5341 0029 
323F,0028 5354 0029 
3234,0028 540D 0029 
323A,0028 547C 0029 
3223,0028 56DB 0029 
322F,0028 571F 0029 
323B,0028 5B66 0029 
1F243,0028 5B89 0029 
1F245,0028 6253 0029 
1F248,0028 6557 0029 
3230,0028 65E5 0029 
322A,0028 6708 0029 
3232,0028 6709 0029 
322D,0028 6728 0029 
1F240,0028 672C 0029 
3231,0028 682A 0029 
322C,0028 6C34 0029 
322B,0028 706B 0029 
1F244,0028 70B9 0029 
3235,0028 7279 0029 
1F246,0028 76D7 0029 
323C,0028 76E3 0029 
3233,0028 793E 0029 
3237,0028 795D 0029 
3240,0028 796D 0029 
3242,0028 81EA 0029 
3243,0028 81F3 0029 
3236,0028 8CA1 0029 
323E,0028 8CC7 0029 
322E,0028 91D1 0029 
FF3D,0029 
2769,0029 
2773,0029 
3015,0029 
FD3F,0029 
2E29,0029 0029 
2774,007B 
1D114,007B 
2775,007D 
301A,27E6 
301B,27E7 
27E8,276C 
2329,276C 
3008,276C 
27E9,276D 
232A,276D 
3009,276D 
FF3E,FE3F 
2E3F,00B6 
204E,002A 
066D,002A 
2217,002A 
1031F,002A 
1735,002F 
2041,002F 
2215,002F 
2044,002F 
2571,002F 
27CB,002F 
29F8,002F 
31D3,002F 
3033,002F 
2CC6,002F 
4E3F,002F 
2F03,002F 
29F6,002F 0304 
2AFD,002F 002F 
2AFB,002F 002F 002F 
FF3C,005C 
FE68,005C 
2216,005C 
27CD,005C 
29F5,005C 
29F9,005C 
31D4,005C 
4E36,005C 
2F02,005C 
2CF9,005C 005C 
244A,005C 005C 
27C8,005C 1455 
A778,0026 
